timestamp,tvlUSD,tvlETH,wBTC,wETH,DAI
1614470400,5700869533,3901898.999,13801.96788,2957953.957,10331195.53
1614384000,5684942302,3933590.018,13820.52111,2971511.063,10342335.73
1614297600,5741121261,3890017.523,13902.71294,2951888.87,10383247.76
1614211200,6228048928,3833093.671,13831.24711,2950741.166,10290456.8
1614124800,5929426920,3760656.384,13812.80541,2915731.787,9821197.793
1614038400,6686807099,3758068.868,13945.44864,2890881.117,10175052.73
1613952000,7159530336,3695489.419,13937.29643,2860040.352,9250082.034
1613865600,7054215434,3673630.468,13836.88036,2853782.447,8528125.46
1613779200,7139395637,3646697.843,13701.76864,2832262.787,9042740.766
1613692800,7004098179,3607867.854,13667.38413,2831431.133,9008652.44
1613606400,6664289361,3599497.346,13670.23974,2820251.409,9298993.185
1613520000,6445892510,3615073.25,13513.95795,2825164.59,8536384.926
1613433600,6501607631,3653532.728,12978.88194,2881778.225,9058953.178
1613347200,6561518931,3636177.65,12963.81049,2866034.701,8939523.651
1613260800,6616967587,3641599.068,12905.61671,2884951.74,8828011.438
1613174400,6703998666,3631831.988,12957.05216,2892645.372,8477937.021
1613088000,6518767630,3645863.584,12950.87677,2891667.202,8355426.009
1613001600,6320737102,3625398.404,12623.85438,2890705.303,8313441.575
1612915200,6415896568,3617422.414,12364.20518,2907952.394,8354604.821
1612828800,6229411413,3560314.694,11858.96275,2894692.024,8245541.255
1612742400,5726563320,3546167.049,11571.80892,2884101.857,8252459.59
1612656000,6002396381,3574259.162,13138.43369,2882688.702,8259722.999
1612569600,6140784641,3570057.579,13082.72362,2891253.802,8135704.168
1612483200,5678424204,3553167.892,12490.86843,2852629.471,8000665.505
1612396800,5823613649,3499431.334,12765.1564,2849516.595,7808882.972
1612310400,5364618684,3542849.858,12734.99722,2829144.382,7654196.342
1612224000,4831791989,3513519.48,12958.52521,2777960.717,7324877.58
1612137600,4681002985,3562081.838,12893.39525,2773669.548,7142066.12
1612051200,4861551711,3527950.966,12917.70489,2763539.437,7275037.739
1611964800,4873295527,3531450.341,12902.01176,2769909.522,7185861.869
1611878400,4693737877,3528516.029,12745.40803,2761938.43,7026602.803
1611792000,4387783976,3514979.433,12000.5065,2752773.897,6831209.362
1611705600,4700200217,3442487.433,11962.30774,2716069.487,6988049.239
1611619200,4568653453,3460812.7,10956.71281,2725086.43,7046505.713
1611532800,4699899432,3390516.042,10830.31799,2698504.694,6703759.074
1611446400,4229548432,3428427.725,10628.06025,2681261.714,6592793.471
1611360000,4222681635,3413426.484,10459.72263,2684479.565,6456194.185
