f0_,Record Count,count
2016. 7. 26.,1,61930
2016. 7. 27.,1,53035
2016. 7. 28.,1,48555
2016. 7. 29.,1,47243
2016. 7. 30.,1,42011
2016. 7. 31.,1,48749
2016. 8. 1.,1,45978
2016. 8. 2.,1,49041
2016. 8. 3.,1,49475
2016. 8. 4.,1,46761
2016. 8. 5.,1,43212
2016. 8. 6.,1,41487
2016. 8. 7.,1,42955
2016. 8. 8.,1,42984
2016. 8. 9.,1,47057
2016. 8. 10.,1,46290
2016. 8. 11.,1,48171
2016. 8. 12.,1,44400
2016. 8. 13.,1,41088
2016. 8. 14.,1,40577
2016. 8. 15.,1,42302
2016. 8. 16.,1,48949
2016. 8. 17.,1,44867
2016. 8. 18.,1,47799
2016. 8. 19.,1,42948
2016. 8. 20.,1,41318
2016. 8. 21.,1,42543
2016. 8. 22.,1,44250
2016. 8. 23.,1,48430
