timestamp,USD,ETH,wBTC,wETH,DAI
1607644800,1619446953,2884452.396,10391.97752,439072.5543,13521375.57
1607558400,1715141288,2994049.556,10457.12147,446239.9846,15162810.21
1607472000,1643135595,2943421.459,11075.64812,442949.2879,15185318.67
1607385600,1790076878,3031356.902,10902.57371,431899.4504,13975523.88
1607299200,1764912860,2964346.904,11253.07494,418617.3652,14672666.61
1607212800,1775562965,2989918.271,11964.50626,409398.8574,15758758.54
1607126400,1744811298,3056193.267,14102.48769,419079.8958,12124247.55
1607040000,1886697459,3075852.979,14095.41355,411723.4928,14025028.41
1606953600,1842708546,3098186.771,14795.60709,419556.9511,16826633.89
1606867200,1736371215,2965519.905,14615.66324,426865.5334,9103414.622
1606780800,1791699903,2921932.685,14285.11414,431438.2072,7899846.068
1606694400,1651535610,2853477.332,15323.19859,410591.738,13391463.39
1606608000,1583632050,2933684.167,15227.30435,404089.6724,13412156.9
1606521600,1494581876,2857217.45,15164.27048,412784.9228,10181088.03
1606435200,1514462988,2917927.995,15345.28748,411815.7324,9796784.12
1606348800,1628559134,2852567.189,15524.39456,422870.6473,12091847.35
1606262400,1686251306,2804202.86,15620.96642,394003.5015,12846292.88
1606176000,1704842662,2815734.325,15514.52437,403638.2718,10407435.54
1606089600,1651638323,2948616.994,15404.12829,406615.1428,12415361.93
1606003200,1663167212,3032873.577,14695.55306,429238.2407,14134235.02
1605916800,1663383908,3301216.401,14902.16172,422710.2518,9699165.28
1605830400,1598740085,3408100.799,14111.93761,379761.7921,12069471.97
1605744000,1603963795,3363594.755,12674.52465,393808.2213,15789412.41
1605657600,1602782986,3357668.348,12705.92641,473264.0269,13079592.11
1605571200,1499706302,3288108.533,12382.26941,452850.9758,14812469.26
1605484800,1398709291,3141331.561,12263.44374,437892.7693,12897905.7
1605398400,1437929087,3137322.643,12280.64485,441014.3486,16051204.4
1605312000,1428216078,3013686.308,12231.08949,443366.5748,16400548.77
1605225600,1341269715,2906641.489,12153.6605,478765.7748,17092960.04
1605139200,1383274726,2990153.101,11779.94376,443070.1253,17222365.68
1605052800,1451523998,3242976.827,11944.20512,441133.0469,9942860.306
1604966400,1304379626,2941170.322,12056.09419,428958.0662,10229642.45
1604880000,1291351683,2855898.629,12015.36264,432780.7666,9458124.644
1604793600,1198752280,2749242.667,11860.78326,430463.3929,8733651.417
1604707200,1193519326,2620700.29,12053.86323,463582.7723,8789772.834
1604620800,1070437020,2590351.902,11791.32149,427685.8079,9872741.228
1604534400,1058685454,2651685.545,12784.39347,408461.2124,12648403.14
1604448000,1053893924,2735965.535,12505.16913,421602.2548,15563324.66
1604361600,1062383206,2768569.583,11203.56237,442899.5841,11617796.75
1604275200,1093360238,2782087.12,12235.51133,411763.6952,11320767.2
1604188800,1072172205,2781755.974,11879.53479,410407.2441,13190122.47
1604102400,1075087552,2821826.169,11785.39432,414543.1125,12251765.49
